"Speaker","Gender","Age","BirthYear","LabovHierarchy","AlveolarStatus","VelarStatus","BilabialStatus","LabiodentalStatus","Voicing","OralStopStatus","Nasality","LateralStatus","Frication","Sonority","PlaceOfArticulation","MannerOfArticulation","Syllables","Context","Vowel","FREQcount","Lg10WF","Lg10WF_c","F1_raw","F2_raw","F1","F2"
"M1991","M","Y",1991,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","not_stop","not_nasal","lateral","not_fricative","sonorant","alveolar","lateral","disyllabic","valley","ae",1275,3.1059,-0.0490788590604025,769.7068266,1316.013122,602.443,1334.739
"M1991","M","Y",1991,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","not_stop","not_nasal","not_lateral","fricative","obstruent","alveolar","fricative","monosyllabic","jazz","ae",608,2.7846,-0.370378859060402,750.4800457,1376.995989,590.624,1377.47
"M1991","M","Y",1991,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","stop","not_nasal","not_lateral","not_fricative","obstruent","alveolar","stop","monosyllabic","bad","ae",27804,4.4441,1.2891211409396,807.4091114,1420.738639,625.551,1408.184
"M1991","M","Y",1991,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","stop","nasal","not_lateral","not_fricative","sonorant","alveolar","nasal","monosyllabic","pan","ae",627,2.798,-0.356978859060403,790.6743851,1588.865524,615.232,1526.23
"M1991","M","Y",1991,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiceless","stop","not_nasal","not_lateral","not_fricative","obstruent","alveolar","stop","monosyllabic","rat","ae",1663,3.2212,0.0662211409395974,889.5688062,1383.827458,675.825,1382.278
"M1991","M","Y",1991,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","not_stop","not_nasal","lateral","not_fricative","sonorant","alveolar","lateral","monosyllabic","sal","ae",400,2.6031,-0.551878859060403,848.0651417,1486.77136,650.423,1454.655
"M1989","M","Y",1989,2,"not_alveolar","not_velar","not_bilabial","labiodental","voiceless","not_stop","not_nasal","not_lateral","fricative","obstruent","labiodental","fricative","monosyllabic","staff","ae",1632,3.213,0.0580211409395974,809.1573938,1311.403926,612.057,1336.074
"M1989","M","Y",1989,2,"not_alveolar","velar","not_bilabial","not_labiodental","voiceless","stop","not_nasal","not_lateral","not_fricative","obstruent","velar","stop","monosyllabic","stack","ae",311,2.4942,-0.660778859060402,798.8237669,1441.149265,605.795,1444.239
"M1989","M","Y",1989,2,"not_alveolar","not_velar","bilabial","not_labiodental","voiced","stop","not_nasal","not_lateral","not_fricative","obstruent","bilabial","stop","monosyllabic","lab","ae",2020,3.3056,0.150621140939597,793.1820831,1295.376371,602.355,1322.72
"M1989","M","Y",1989,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiceless","not_stop","not_nasal","not_lateral","fricative","obstruent","alveolar","fricative","monosyllabic","pass","ae",5514,3.7415,0.586521140939597,821.040154,1364.087791,619.289,1379.874
"M1989","M","Y",1989,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","not_stop","not_nasal","lateral","not_fricative","sonorant","alveolar","lateral","disyllabic","valley","ae",1275,3.1059,-0.0490788590604025,752.8439378,1357.051975,577.747,1373.998
"M1989","M","Y",1989,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","not_stop","not_nasal","not_lateral","fricative","obstruent","alveolar","fricative","monosyllabic","jazz","ae",608,2.7846,-0.370378859060402,797.5144993,1372.760695,605.001,1387.352
"M1989","M","Y",1989,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","stop","not_nasal","not_lateral","not_fricative","obstruent","alveolar","stop","monosyllabic","bad","ae",27804,4.4441,1.2891211409396,798.2014538,1426.447317,605.354,1431.953
"M1989","M","Y",1989,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","stop","nasal","not_lateral","not_fricative","sonorant","alveolar","nasal","monosyllabic","pan","ae",627,2.798,-0.356978859060403,836.0632803,1604.019691,628.462,1580.446
"M1989","M","Y",1989,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiceless","stop","not_nasal","not_lateral","not_fricative","obstruent","alveolar","stop","monosyllabic","rat","ae",1663,3.2212,0.0662211409395974,850.3923568,1427.971323,637.194,1433.289
"M1989","M","Y",1989,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","not_stop","not_nasal","lateral","not_fricative","sonorant","alveolar","lateral","monosyllabic","sal","ae",400,2.6031,-0.551878859060403,750.0256031,1435.762591,576.072,1439.966
"M1988","M","Y",1988,2,"not_alveolar","not_velar","not_bilabial","labiodental","voiceless","not_stop","not_nasal","not_lateral","fricative","obstruent","labiodental","fricative","monosyllabic","staff","ae",1632,3.213,0.0580211409395974,808.4287494,1601.752298,601.826,1425.277
"M1988","M","Y",1988,2,"not_alveolar","velar","not_bilabial","not_labiodental","voiceless","stop","not_nasal","not_lateral","not_fricative","obstruent","velar","stop","monosyllabic","stack","ae",311,2.4942,-0.660778859060402,861.7782979,1767.93657,632.078,1532.64
"M1988","M","Y",1988,2,"not_alveolar","not_velar","bilabial","not_labiodental","voiced","stop","nasal","not_lateral","not_fricative","sonorant","bilabial","nasal","monosyllabic","ham","ae",591,2.7723,-0.382678859060403,663.4736649,1873.976327,519.536,1601.011
"M1988","M","Y",1988,2,"not_alveolar","not_velar","bilabial","not_labiodental","voiced","stop","not_nasal","not_lateral","not_fricative","obstruent","bilabial","stop","monosyllabic","lab","ae",2020,3.3056,0.150621140939597,793.9039593,1579.738944,593.535,1411.122
"M1988","M","Y",1988,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiceless","not_stop","not_nasal","not_lateral","fricative","obstruent","alveolar","fricative","monosyllabic","pass","ae",5514,3.7415,0.586521140939597,847.3264855,1612.880867,623.875,1432.488
"M1988","M","Y",1988,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","not_stop","not_nasal","lateral","not_fricative","sonorant","alveolar","lateral","disyllabic","valley","ae",1275,3.1059,-0.0490788590604025,844.0102618,1486.168502,622.023,1350.763
"M1988","M","Y",1988,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","not_stop","not_nasal","not_lateral","fricative","obstruent","alveolar","fricative","monosyllabic","jazz","ae",608,2.7846,-0.370378859060402,768.8801946,1576.380053,579.335,1408.985
"M1988","M","Y",1988,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","stop","not_nasal","not_lateral","not_fricative","obstruent","alveolar","stop","monosyllabic","bad","ae",27804,4.4441,1.2891211409396,798.3121614,1753.953083,596.093,1523.56
"M1988","M","Y",1988,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","stop","nasal","not_lateral","not_fricative","sonorant","alveolar","nasal","monosyllabic","pan","ae",627,2.798,-0.356978859060403,659.8177097,1892.771601,517.419,1613.296
"M1988","M","Y",1988,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiceless","stop","not_nasal","not_lateral","not_fricative","obstruent","alveolar","stop","monosyllabic","rat","ae",1663,3.2212,0.0662211409395974,877.1329384,1703.297382,640.81,1490.977
"M1988","M","Y",1988,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","not_stop","not_nasal","lateral","not_fricative","sonorant","alveolar","lateral","monosyllabic","sal","ae",400,2.6031,-0.551878859060403,893.4615685,1604.854431,650.071,1427.413
"M1987","M","Y",1987,2,"not_alveolar","not_velar","not_bilabial","labiodental","voiceless","not_stop","not_nasal","not_lateral","fricative","obstruent","labiodental","fricative","monosyllabic","staff","ae",1632,3.213,0.0580211409395974,840.382944,1456.592606,602.972,1388.955
"M1987","M","Y",1987,2,"not_alveolar","velar","not_bilabial","not_labiodental","voiceless","stop","not_nasal","not_lateral","not_fricative","obstruent","velar","stop","monosyllabic","stack","ae",311,2.4942,-0.660778859060402,839.4216074,1474.483145,602.443,1404.712
"M1987","M","Y",1987,2,"not_alveolar","not_velar","bilabial","not_labiodental","voiced","stop","nasal","not_lateral","not_fricative","sonorant","bilabial","nasal","monosyllabic","ham","ae",591,2.7723,-0.382678859060403,917.1680116,1554.380826,647.689,1474.418
"M1987","M","Y",1987,2,"not_alveolar","not_velar","bilabial","not_labiodental","voiced","stop","not_nasal","not_lateral","not_fricative","obstruent","bilabial","stop","monosyllabic","lab","ae",2020,3.3056,0.150621140939597,843.5092479,1427.838111,604.824,1364.117
"M1987","M","Y",1987,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiceless","not_stop","not_nasal","not_lateral","fricative","obstruent","alveolar","fricative","monosyllabic","pass","ae",5514,3.7415,0.586521140939597,799.8478003,1325.521328,579.423,1274.647
"M1987","M","Y",1987,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","not_stop","not_nasal","lateral","not_fricative","sonorant","alveolar","lateral","disyllabic","valley","ae",1275,3.1059,-0.0490788590604025,778.3554233,1447.989511,566.899,1381.477
"M1987","M","Y",1987,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","not_stop","not_nasal","not_lateral","fricative","obstruent","alveolar","fricative","monosyllabic","jazz","ae",608,2.7846,-0.370378859060402,897.8281074,1541.20261,636.4,1462.934
"M1987","M","Y",1987,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","stop","not_nasal","not_lateral","not_fricative","obstruent","alveolar","stop","monosyllabic","bad","ae",27804,4.4441,1.2891211409396,771.3851257,1485.130101,562.842,1414.06
"M1987","M","Y",1987,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","stop","nasal","not_lateral","not_fricative","sonorant","alveolar","nasal","monosyllabic","pan","ae",627,2.798,-0.356978859060403,862.1824176,1593.090361,615.673,1508.337
"M1987","M","Y",1987,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiceless","stop","not_nasal","not_lateral","not_fricative","obstruent","alveolar","stop","monosyllabic","rat","ae",1663,3.2212,0.0662211409395974,790.7633097,1447.380166,574.131,1380.942
"M1987","M","Y",1987,2,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","not_stop","not_nasal","lateral","not_fricative","sonorant","alveolar","lateral","monosyllabic","sal","ae",400,2.6031,-0.551878859060403,814.0714944,1443.130994,587.714,1377.203
"M1961","M","O",1961,4,"not_alveolar","not_velar","not_bilabial","labiodental","voiceless","not_stop","not_nasal","not_lateral","fricative","obstruent","labiodental","fricative","monosyllabic","staff","ae",1632,3.213,0.0580211409395974,763.7762364,1527.311302,589.301,1371.061
"M1961","M","O",1961,4,"not_alveolar","velar","not_bilabial","not_labiodental","voiceless","stop","not_nasal","not_lateral","not_fricative","obstruent","velar","stop","monosyllabic","stack","ae",311,2.4942,-0.660778859060402,863.6162567,1640.775163,651.923,1446.91
"M1961","M","O",1961,4,"not_alveolar","not_velar","bilabial","not_labiodental","voiced","stop","nasal","not_lateral","not_fricative","sonorant","bilabial","nasal","monosyllabic","ham","ae",591,2.7723,-0.382678859060403,759.4292225,1760.519331,586.567,1526.765
"M1961","M","O",1961,4,"not_alveolar","not_velar","bilabial","not_labiodental","voiced","stop","not_nasal","not_lateral","not_fricative","obstruent","bilabial","stop","monosyllabic","lab","ae",2020,3.3056,0.150621140939597,755.9572382,1602.38766,584.362,1421.271
"M1961","M","O",1961,4,"alveolar","not_velar","not_bilabial","not_labiodental","voiceless","not_stop","not_nasal","not_lateral","fricative","obstruent","alveolar","fricative","monosyllabic","pass","ae",5514,3.7415,0.586521140939597,783.7244752,1624.84907,601.826,1436.227
"M1961","M","O",1961,4,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","not_stop","not_nasal","lateral","not_fricative","sonorant","alveolar","lateral","disyllabic","valley","ae",1275,3.1059,-0.0490788590604025,772.3836484,1558.412712,594.682,1391.892
"M1961","M","O",1961,4,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","not_stop","not_nasal","not_lateral","fricative","obstruent","alveolar","fricative","monosyllabic","jazz","ae",608,2.7846,-0.370378859060402,728.8567029,1636.110031,567.34,1443.705
"M1961","M","O",1961,4,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","stop","not_nasal","not_lateral","not_fricative","obstruent","alveolar","stop","monosyllabic","bad","ae",27804,4.4441,1.2891211409396,715.1162612,1671.46173,558.785,1467.207
"M1961","M","O",1961,4,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","stop","nasal","not_lateral","not_fricative","sonorant","alveolar","nasal","monosyllabic","pan","ae",627,2.798,-0.356978859060403,762.3502514,1773.706245,588.419,1535.578
"M1961","M","O",1961,4,"alveolar","not_velar","not_bilabial","not_labiodental","voiceless","stop","not_nasal","not_lateral","not_fricative","obstruent","alveolar","stop","monosyllabic","rat","ae",1663,3.2212,0.0662211409395974,849.1199324,1542.132752,642.838,1380.942
"M1961","M","O",1961,4,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","not_stop","not_nasal","lateral","not_fricative","sonorant","alveolar","lateral","monosyllabic","sal","ae",400,2.6031,-0.551878859060403,774.1141383,1618.937424,595.74,1432.221
"M1960","M","O",1960,4,"not_alveolar","not_velar","not_bilabial","labiodental","voiceless","not_stop","not_nasal","not_lateral","fricative","obstruent","labiodental","fricative","monosyllabic","staff","ae",1632,3.213,0.0580211409395974,974.1639585,1532.167073,661.977,1395.364
"M1960","M","O",1960,4,"not_alveolar","velar","not_bilabial","not_labiodental","voiceless","stop","not_nasal","not_lateral","not_fricative","obstruent","velar","stop","monosyllabic","stack","ae",311,2.4942,-0.660778859060402,877.5855975,1574.628968,611.969,1424.208
"M1960","M","O",1960,4,"not_alveolar","not_velar","bilabial","not_labiodental","voiced","stop","nasal","not_lateral","not_fricative","sonorant","bilabial","nasal","monosyllabic","ham","ae",591,2.7723,-0.382678859060403,816.7077309,1747.072872,580.393,1541.187
"M1960","M","O",1960,4,"not_alveolar","not_velar","bilabial","not_labiodental","voiced","stop","not_nasal","not_lateral","not_fricative","obstruent","bilabial","stop","monosyllabic","lab","ae",2020,3.3056,0.150621140939597,768.3655504,1631.790295,555.345,1462.934
"M1960","M","O",1960,4,"alveolar","not_velar","not_bilabial","not_labiodental","voiceless","not_stop","not_nasal","not_lateral","fricative","obstruent","alveolar","fricative","monosyllabic","pass","ae",5514,3.7415,0.586521140939597,881.8236479,1653.090687,614.174,1477.356
"M1960","M","O",1960,4,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","not_stop","not_nasal","lateral","not_fricative","sonorant","alveolar","lateral","disyllabic","valley","ae",1275,3.1059,-0.0490788590604025,749.5286199,1439.047762,545.643,1332.335
"M1960","M","O",1960,4,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","not_stop","not_nasal","not_lateral","fricative","obstruent","alveolar","fricative","monosyllabic","jazz","ae",608,2.7846,-0.370378859060402,725.1016085,1682.538129,532.942,1497.386
"M1960","M","O",1960,4,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","stop","not_nasal","not_lateral","not_fricative","obstruent","alveolar","stop","monosyllabic","bad","ae",27804,4.4441,1.2891211409396,695.3179362,1900.847683,517.507,1645.345
"M1960","M","O",1960,4,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","stop","nasal","not_lateral","not_fricative","sonorant","alveolar","nasal","monosyllabic","pan","ae",627,2.798,-0.356978859060403,737.3692998,2146.889506,539.293,1812.266
"M1960","M","O",1960,4,"alveolar","not_velar","not_bilabial","not_labiodental","voiceless","stop","not_nasal","not_lateral","not_fricative","obstruent","alveolar","stop","monosyllabic","rat","ae",1663,3.2212,0.0662211409395974,860.7240158,1714.317056,603.237,1518.752
"M1960","M","O",1960,4,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","not_stop","not_nasal","lateral","not_fricative","sonorant","alveolar","lateral","monosyllabic","sal","ae",400,2.6031,-0.551878859060403,792.0626674,1436.575179,567.605,1330.465
"M1957","M","O",1957,4,"not_alveolar","not_velar","not_bilabial","labiodental","voiceless","not_stop","not_nasal","not_lateral","fricative","obstruent","labiodental","fricative","monosyllabic","staff","ae",1632,3.213,0.0580211409395974,658.8829526,1675.336498,605.442,1539.851
"M1957","M","O",1957,4,"not_alveolar","velar","not_bilabial","not_labiodental","voiceless","stop","not_nasal","not_lateral","not_fricative","obstruent","velar","stop","monosyllabic","stack","ae",311,2.4942,-0.660778859060402,587.0482468,1602.454072,545.819,1496.318
"M1957","M","O",1957,4,"not_alveolar","not_velar","bilabial","not_labiodental","voiced","stop","nasal","not_lateral","not_fricative","sonorant","bilabial","nasal","monosyllabic","ham","ae",591,2.7723,-0.382678859060403,617.0849979,2061.54653,570.78,1770.336
"M1957","M","O",1957,4,"not_alveolar","not_velar","bilabial","not_labiodental","voiced","stop","not_nasal","not_lateral","not_fricative","obstruent","bilabial","stop","monosyllabic","lab","ae",2020,3.3056,0.150621140939597,614.1699714,1654.569856,568.31,1527.566
"M1957","M","O",1957,4,"alveolar","not_velar","not_bilabial","not_labiodental","voiceless","not_stop","not_nasal","not_lateral","fricative","obstruent","alveolar","fricative","monosyllabic","pass","ae",5514,3.7415,0.586521140939597,680.0440463,1570.654332,622.993,1477.356
"M1957","M","O",1957,4,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","not_stop","not_nasal","lateral","not_fricative","sonorant","alveolar","lateral","disyllabic","valley","ae",1275,3.1059,-0.0490788590604025,691.0723657,1450.848857,632.078,1406.047
"M1957","M","O",1957,4,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","not_stop","not_nasal","not_lateral","fricative","obstruent","alveolar","fricative","monosyllabic","jazz","ae",608,2.7846,-0.370378859060402,619.9787057,1772.241326,573.161,1597.806
"M1957","M","O",1957,4,"alveolar","not_velar","not_bilabial","not_labiodental","voiced","stop","not_nasal","not_lateral","not_fricative","obstruent","alveolar","stop","monosyllabic","bad","ae",27804,4.4441,1.2891211409396,588.2789181,1777.381248,546.878,1600.744
